field_1,lat,lng,time,population,popxtime
266,30.251600000000053,-97.788810000000140,683.000000000000000,1455.151977539062500,993868.800659179687500
267,30.246600000000054,-97.843810000000076,501.000000000000000,1030.965942382812273,516513.937133788946085
268,30.246600000000054,-97.838810000000095,568.000000000000000,1090.222045898437727,619246.122070312616415
269,30.246600000000054,-97.833810000000099,611.000000000000000,1090.222045898437727,666125.670043945428915
270,30.246600000000054,-97.828810000000075,608.000000000000000,1437.594970703125000,874057.742187500000000
271,30.246600000000054,-97.823810000000137,543.000000000000000,791.518920898437500,429794.774047851562500
275,30.246600000000054,-97.803810000000126,523.000000000000000,348.675598144531250,182357.337829589843750
280,30.241600000000052,-97.843810000000076,569.000000000000000,1030.965942382812273,586619.621215820196085
281,30.241600000000052,-97.823810000000137,560.000000000000000,791.518920898437500,443250.595703125000000
282,30.241600000000052,-97.818810000000127,741.000000000000000,791.518920898437500,586515.520385742187500
284,30.241600000000052,-97.798810000000131,481.000000000000000,692.534484863281250,333109.087219238281250
286,30.241600000000052,-97.728810000000209,483.000000000000000,3104.971923828125000,1499701.439208984375000
287,30.236600000000053,-97.873810000000063,585.000000000000000,225.565002441406250,131955.526428222656250
289,30.236600000000053,-97.808810000000136,609.000000000000000,234.415405273437500,142758.981811523437500
294,30.221600000000052,-97.888810000000035,495.000000000000000,825.519714355468636,408632.258605956973042
295,30.221600000000052,-97.883810000000040,505.000000000000000,825.519714355468636,416887.455749511660542
296,30.221600000000052,-97.833810000000099,676.000000000000000,356.815795898437500,241207.478027343750000
297,30.216600000000053,-97.888810000000035,565.000000000000000,825.519714355468636,466418.638610839785542
298,30.216600000000053,-97.823810000000137,533.000000000000000,330.283813476562500,176041.272583007812500
299,30.216600000000053,-97.753810000000158,653.000000000000000,1211.271972656250000,790960.598144531250000
300,30.216600000000053,-97.748810000000205,665.000000000000000,2370.687011718750000,1576506.862792968750000
301,30.216600000000053,-97.653810000000263,703.000000000000000,114.758201599121080,80675.015724182114354
302,30.211600000000054,-97.888810000000035,518.000000000000000,1794.634033203125000,929620.429199218750000
303,30.211600000000054,-97.883810000000040,485.000000000000000,1794.634033203125000,870397.506103515625000
304,30.206600000000066,-97.863810000000072,560.000000000000000,1956.391967773437273,1095579.501953124767169
305,30.206600000000066,-97.763810000000149,498.000000000000000,1488.488037109375000,741267.042480468750000
306,30.206600000000066,-97.688810000000231,537.000000000000000,205.989501953125000,110616.362548828125000
307,30.206600000000066,-97.613810000000299,563.000000000000000,3.230015993118286,1818.499004125595093
308,30.206600000000066,-97.608810000000304,548.000000000000000,3.230015993118286,1770.048764228820801
309,30.206600000000066,-97.603810000000308,676.000000000000000,0.607348918914795,410.567869186401367
311,30.201600000000070,-97.743810000000209,520.000000000000000,1102.833007812500000,573473.164062500000000
316,30.196600000000071,-97.768810000000158,534.000000000000000,1599.769042968750000,854276.668945312500000
321,30.191600000000065,-97.868810000000082,551.000000000000000,580.539184570312500,319877.090698242187500
338,30.181600000000071,-97.773810000000154,531.000000000000000,1747.416015625000000,927877.904296875000000
339,30.181600000000071,-97.768810000000158,575.000000000000000,1747.416015625000000,1004764.208984375000000
340,30.181600000000071,-97.728810000000209,592.000000000000000,6.389064788818359,3782.326354980468750
348,30.176600000000072,-97.778810000000149,552.000000000000000,235.310699462890625,129891.506103515625000
349,30.176600000000072,-97.768810000000158,614.000000000000000,1747.416015625000000,1072913.433593750000000
350,30.176600000000072,-97.728810000000209,629.000000000000000,6.389064788818359,4018.721752166748047
351,30.176600000000072,-97.723810000000213,600.000000000000000,17.450529098510742,10470.317459106445312
352,30.176600000000072,-97.678810000000226,487.000000000000000,0.595624387264252,290.069076597690525
358,30.176600000000072,-97.628810000000286,679.000000000000000,27.747150421142567,18840.315135955803271
360,30.171600000000076,-97.848810000000071,636.000000000000000,977.109313964843409,621441.523681640392169
361,30.171600000000076,-97.843810000000076,602.000000000000000,977.109313964843409,588219.807006835704669
362,30.171600000000076,-97.663810000000225,509.000000000000000,7.598666191101071,3867.721091270444958
363,30.171600000000076,-97.658810000000287,929.000000000000000,7.598666191101071,7059.160891532894311
364,30.171600000000076,-97.628810000000286,535.000000000000000,1513.265991210937500,809597.305297851562500
